X_train,y_train
"[2, 1135, 1413, 17, 1, 719, 1, 56, 551, 5187]","[329, 1043, 33, 1321, 3, 1, 91, 1, 1, 2616]"
"[4, 2, 143, 5413, 1, 2890, 13, 612, 3, 1891]","[291, 755, 2, 57, 1113, 695, 3, 1909, 2, 1001]"
"[268, 875, 461, 16, 81, 38, 57, 90, 16, 294]","[679, 1, 1556, 20, 1, 1, 934, 261, 20, 1]"
"[7322, 512, 18, 2492, 750, 3, 685, 332, 17, 6614]","[2176, 210, 3, 632, 1852, 1, 566, 202, 21, 6219]"
"[101, 16, 341, 22, 64, 49, 193, 5, 5676, 5107]","[1, 32, 54, 949, 32, 33, 30, 3278, 17, 56]"
"[1344, 7, 28, 4082, 27, 4044, 119, 4, 1, 1]","[1, 1, 20, 1, 2706, 7, 2, 322, 1, 83]"
"[2, 114, 17, 28, 106, 749, 64, 5, 2728, 15]","[5, 3156, 1476, 7, 2, 1, 299, 4, 425, 1]"
"[45, 7323, 1214, 8901, 1145, 15, 16, 911, 72, 6160]","[419, 79, 898, 4137, 2, 1, 6, 127, 4304, 80]"
"[7824, 10, 2, 74, 3, 22, 1, 7, 1, 6483]","[303, 1, 1, 71, 44, 4, 605, 7, 2, 240]"
"[330, 4189, 1396, 1346, 1846, 9, 142, 197, 1597, 781]","[9, 39, 446, 24, 29, 7237, 2405, 11, 39, 875]"
"[5193, 1, 10, 179, 6, 4185, 5758, 21, 1, 504]","[778, 2, 241, 1, 619, 7, 2, 102, 7, 776]"
"[29, 1, 14, 77, 126, 31, 1, 1, 1278, 1]","[470, 14, 51, 10, 2, 2122, 1814, 7, 2, 102]"
"[1009, 148, 79, 77, 40, 673, 6, 463, 53, 3721]","[2548, 212, 389, 4, 2354, 21, 4352, 767, 33, 4353]"
"[8226, 1, 27, 2, 1, 854, 1, 2072, 17, 9455]","[303, 1, 33, 1084, 7, 5, 1515, 3, 1, 3129]"
"[2199, 6, 4193, 35, 37, 5338, 131, 1, 7642, 548]","[1, 1, 16, 2, 1, 10, 4797, 64, 2, 464]"
"[64, 5, 914, 7, 2086, 732, 2, 1, 587, 420]","[2058, 1, 83, 29, 3572, 6890, 4635, 2, 1, 1]"
"[57, 1263, 1, 1838, 809, 17, 1634, 1, 5421, 1]","[11, 19, 1419, 3, 4592, 2, 587, 4, 383, 3387]"
"[1758, 26, 32, 57, 134, 98, 50, 4, 180, 1812]","[6, 1, 3759, 23, 317, 5439, 9, 2, 1, 1014]"
"[1608, 3, 1, 31, 1, 551, 1264, 3, 5, 607]","[5, 664, 948, 14, 31, 1, 64, 140, 3597, 171]"
"[70, 1875, 1, 11, 2, 224, 173, 324, 28, 703]","[1136, 26, 82, 5306, 247, 55, 41, 22, 151, 1202]"
"[4, 1673, 163, 23, 5, 4091, 38, 152, 147, 1]","[233, 157, 1, 1345, 6065, 8, 2, 120, 12, 1]"
"[504, 11, 1, 696, 739, 1, 753, 1, 7, 3227]","[485, 187, 713, 721, 38, 1, 742, 1, 7, 2934]"
"[24, 5264, 9, 29, 435, 47, 3, 532, 2, 4741]","[293, 257, 1119, 2841, 1, 1, 9, 91, 2386, 708]"
"[9186, 1439, 2, 234, 5272, 9, 141, 14, 778, 245]","[12, 82, 1972, 3, 2757, 258, 677, 17, 79, 384]"
"[30, 3843, 2987, 7649, 6, 883, 28, 1570, 108, 2020]","[26, 3, 1723, 11, 310, 7, 5, 3938, 64, 592]"
"[8, 2, 759, 7484, 7, 76, 47, 5673, 1256, 222]","[543, 20, 2, 1609, 3, 1487, 39, 1793, 4, 1815]"
"[387, 2, 275, 25, 23, 3694, 1974, 5, 1, 166]","[643, 13, 24, 30, 536, 91, 2155, 2301, 9, 1]"
"[16, 2920, 9, 1018, 3, 1051, 7334, 47, 8220, 2384]","[58, 274, 38, 439, 140, 1265, 3396, 699, 4, 690]"
"[280, 9, 5, 510, 2191, 67, 66, 530, 17, 1]","[1, 2114, 65, 349, 654, 694, 5292, 279, 24, 16]"
"[1105, 16, 12, 222, 172, 3, 22, 1105, 36, 15]","[36, 1334, 8, 77, 22, 5293, 14, 4404, 1, 6662]"
"[32, 216, 3, 364, 14, 66, 12, 5, 2899, 2898]","[5, 525, 1, 1694, 3, 1, 19, 111, 23, 16]"
"[8459, 1063, 22, 50, 55, 13, 15, 42, 83, 473]","[1, 28, 141, 2429, 11, 9, 180, 7, 2, 1993]"
"[204, 5513, 43, 1287, 2760, 98, 2, 239, 928, 498]","[1, 1, 7, 2, 929, 1556, 7, 1, 6, 1]"
"[1430, 4928, 9, 2, 930, 4, 31, 140, 13, 164]","[19, 681, 733, 14, 7028, 6663, 1301, 13, 243, 2047]"
"[9773, 6, 3231, 3495, 7, 234, 1137, 3, 28, 207]","[2, 74, 1, 9, 1276, 2417, 6, 2, 526, 7447]"
"[6078, 11, 307, 38, 136, 5, 267, 17, 19, 8044]","[3, 1, 2, 683, 10, 7733, 347, 374, 20, 1]"
"[2952, 485, 18, 5, 1962, 3464, 1609, 4, 231, 7829]","[13, 432, 7923, 134, 1838, 17, 19, 283, 1, 157]"
"[2785, 1637, 23, 968, 8, 3376, 57, 5415, 1, 4642]","[533, 4, 102, 1, 680, 83, 878, 77, 22, 1616]"
"[404, 27, 1079, 6, 125, 7647, 9, 5, 1575, 15]","[1, 81, 6026, 2, 888, 3014, 548, 7, 19, 396]"
"[7, 2, 1377, 6, 5, 1, 4, 1, 1, 1]","[318, 1127, 3450, 62, 225, 263, 15, 10, 1240, 3053]"
"[6, 231, 1562, 23, 362, 56, 2, 5354, 7, 568]","[2, 211, 9, 286, 306, 81, 15, 802, 151, 1]"
"[16, 1862, 1, 6, 2805, 7670, 1137, 3, 28, 207]","[18, 15, 2313, 6, 12, 329, 11, 43, 196, 575]"
"[72, 806, 52, 3, 2, 2341, 4, 3579, 635, 154]","[3, 2969, 10, 148, 6289, 7079, 6, 148, 366, 1]"
"[1, 2123, 1, 25, 1, 1, 7192, 1, 1, 1]","[2193, 1, 1, 1, 1, 1, 8951, 1, 1, 1]"
"[161, 7, 161, 50, 49, 848, 1132, 1523, 142, 1699]","[526, 1008, 23, 37, 4121, 9, 2934, 2000, 98, 164]"
"[12, 489, 3, 316, 7, 2, 179, 2108, 9, 780]","[3, 456, 1, 1, 9, 8100, 3195, 2, 2204, 772]"
"[1, 2, 1, 3291, 42, 69, 2853, 2030, 15, 1]","[16, 2010, 27, 71, 1975, 15, 50, 112, 2, 1386]"
"[132, 1334, 9, 165, 3437, 75, 163, 3437, 1019, 163]","[2, 1, 24, 162, 9, 4117, 4, 2, 1, 1042]"
"[115, 3393, 57, 1453, 131, 17, 52, 3, 1, 1]","[451, 24, 1667, 5, 4293, 6147, 43, 2378, 21, 3085]"
"[26, 72, 46, 261, 88, 1063, 2057, 8058, 1, 15]","[1, 3370, 2, 2045, 1, 1, 1502, 1673, 118, 129]"
"[536, 2, 7359, 962, 1, 1, 12, 5, 4283, 1]","[6796, 24, 317, 5849, 3, 2, 1948, 7, 1, 1167]"
"[1, 5604, 1, 922, 2, 115, 4, 2, 232, 1073]","[28, 348, 6, 10, 162, 29, 1, 7, 2, 321]"
"[1985, 38, 27, 1303, 3, 1867, 904, 9, 672, 1669]","[4, 3372, 233, 3800, 3134, 2, 475, 10, 29, 1476]"
"[381, 20, 2, 199, 6, 493, 404, 300, 521, 628]","[43, 4101, 709, 7, 17, 327, 245, 72, 937, 1733]"
"[579, 1, 27, 5782, 4755, 52, 9, 2, 1, 610]","[7, 2, 213, 450, 3, 6343, 9, 165, 306, 395]"
"[203, 49, 57, 1263, 378, 3555, 11, 511, 6, 494]","[48, 7327, 86, 2956, 3, 1309, 2, 5237, 689, 2452]"
"[9, 2, 167, 881, 89, 25, 346, 25, 57, 387]","[853, 7, 5052, 204, 28, 84, 237, 5, 793, 5658]"
"[1, 1, 1401, 3, 1, 1, 955, 1, 388, 2200]","[2015, 1, 7, 507, 3, 1486, 47, 48, 6568, 464]"
"[597, 7, 1, 4, 2, 440, 1579, 4, 877, 923]","[9, 1, 4501, 25, 24, 37, 529, 4, 1, 2581]"
"[4609, 10, 3732, 6513, 59, 1, 6, 2319, 59, 1]","[1, 4415, 25, 5, 1978, 1156, 77, 1, 2, 363]"
"[962, 111, 66, 3921, 281, 17, 2, 279, 541, 6166]","[771, 212, 389, 1, 1, 12, 50, 1146, 212, 389]"
"[924, 1429, 4758, 6, 832, 1, 1137, 3, 28, 207]","[101, 188, 7769, 3706, 8433, 1789, 14, 795, 7, 2522]"
"[26, 32, 27, 54, 5, 2849, 8067, 4, 1313, 1]","[1158, 9, 1218, 3, 22, 782, 11, 106, 6154, 770]"
"[190, 3, 229, 26, 4299, 527, 5, 917, 64, 176]","[34, 10, 108, 4188, 938, 17, 5, 157, 7, 2882]"
"[20, 1, 1824, 2281, 4493, 4250, 200, 6, 1, 2860]","[2, 852, 4, 759, 9, 46, 3457, 12, 86, 1285]"
"[458, 8704, 6, 7866, 20, 1, 2, 1, 1, 1603]","[1, 6449, 3798, 2153, 784, 1, 144, 3, 69, 1]"
"[172, 4, 2, 166, 101, 8, 812, 3, 22, 15]","[22, 659, 238, 5, 441, 4, 7214, 7, 246, 60]"
"[106, 1245, 64, 3, 22, 3094, 7, 1, 6, 1]","[2791, 298, 11, 5, 6917, 766, 7, 2, 741, 3458]"
"[7, 863, 40, 36, 518, 2, 1701, 1766, 7, 234]","[182, 3, 498, 3, 2041, 1026, 18, 5, 594, 832]"
"[203, 5069, 15, 2351, 1, 1, 1137, 3, 28, 207]","[580, 7, 1, 9774, 75, 116, 55, 10, 70, 5375]"
"[9799, 18, 576, 4, 1, 4045, 8955, 6, 4056, 1]","[5588, 490, 38, 39, 1, 1, 204, 1676, 20, 1]"
"[477, 16, 44, 36, 10, 1306, 6, 1272, 1987, 7484]","[157, 1459, 8, 33, 8320, 9, 644, 7, 2, 4015]"
"[2019, 9, 460, 44, 5, 59, 277, 43, 22, 1]","[2, 853, 3, 22, 5, 703, 4, 2, 2489, 546]"
"[1, 211, 6, 2424, 1974, 5, 743, 387, 7, 6903]","[102, 373, 6918, 102, 1665, 1271, 2420, 2482, 20, 3759]"
"[41, 2088, 48, 119, 3818, 465, 3, 1451, 21, 49]","[2852, 48, 2, 866, 3735, 470, 3, 1529, 21, 51]"
"[177, 905, 7, 2, 4108, 44, 189, 622, 10, 498]","[6, 2245, 3930, 766, 7, 2, 142, 7, 2, 3765]"
"[7, 2, 1708, 4, 4186, 1281, 7, 105, 340, 60]","[7, 5, 5835, 238, 60, 1981, 7784, 46, 239, 2147]"
"[5, 172, 452, 26, 226, 287, 152, 23, 2, 1345]","[8, 89, 1, 26, 391, 398, 3, 2681, 448, 4506]"
"[163, 21, 2, 378, 7, 142, 1, 253, 1, 392]","[11, 5, 5381, 1140, 17, 2683, 9175, 7, 895, 231]"
"[8963, 707, 6, 8945, 1547, 126, 2, 8714, 8454, 459]","[227, 70, 8347, 1, 267, 7, 5609, 122, 81, 8562]"
